StudentID,CourseCode,AttendanceStatus,Grade
323,CS49,Online,84.84
323,CS18,Offline,62.14
323,MB03,Offline,65.04
323,DV50,Online,78.51
324,CS51,Online,73.34
324,MB52,Online,92.88
324,UX53,Offline,87.62
324,MB54,Online,64.86
324,MB26,Online,88.06
325,MB52,Offline,85.13
325,MB54,Online,92.22
325,WD28,Online,64.59
325,AI55,Online,66.12
325,MB56,Online,80.79
326,AI55,Online,93.31
326,DS09,Offline,75.63
326,BI36,Online,72.0
327,CS42,Offline,94.37
327,UX53,Online,77.29
327,CS12,Online,67.39
327,AI33,Online,66.83
328,CS57,Online,98.36
328,DS58,Offline,74.69
328,BI02,Offline,75.65
328,DV35,Online,78.56
328,DV47,Offline,65.93
329,DV47,Online,83.22
329,CS18,Online,85.8
329,MB54,Offline,61.71
329,DS59,Offline,98.51
330,PY24,Offline,80.03
330,DV60,Online,73.95
330,TS34,Offline,80.52
330,DS61,Online,86.24
331,CS57,Offline,91.4
331,MB56,Offline,96.94
331,WD43,Online,96.65
331,PY62,Offline,75.06
332,TS29,Online,87.91
332,MB16,Offline,83.38
332,MB40,Offline,62.7
332,AI27,Online,94.08
333,DS59,Online,79.98
333,PY07,Offline,72.95
333,MB37,Online,99.25
334,BI36,Online,62.48
334,PY63,Offline,64.58
334,UX53,Online,77.66
334,MB39,Offline,84.26
334,CS64,Online,96.94
335,PY07,Online,67.83
335,DS65,Offline,77.5
335,CS20,Offline,69.02
335,WD30,Online,77.36
336,CS66,Online,61.33
336,PY62,Online,95.73
336,MB40,Offline,90.98
336,BI06,Online,73.63
336,CS57,Offline,67.61
337,WD43,Offline,74.26
337,DS45,Online,92.06
337,WD67,Offline,77.1
338,WD28,Offline,64.04
338,MB16,Offline,69.22
338,DS68,Offline,60.9
338,MB69,Offline,96.89
339,CS05,Offline,62.99
339,DS10,Online,94.13
339,MB01,Offline,75.97
339,MB03,Online,81.84
340,CS70,Online,61.29
340,UX71,Offline,70.44
340,UX41,Offline,95.52
341,MB16,Offline,96.97
341,DS59,Online,69.42
341,BI36,Online,92.23
342,UX53,Online,95.5
342,DS72,Offline,97.86
342,CS70,Offline,88.93
342,CS57,Online,61.42
342,DS61,Online,86.01
343,BI36,Online,61.05
343,WD73,Online,81.37
343,AI55,Offline,87.28
343,DS09,Online,82.1
344,WD67,Online,77.19
344,BI02,Offline,81.98
344,PY74,Online,77.52
345,CS75,Online,69.53
345,CS70,Online,83.54
345,CS11,Online,76.52
345,CS42,Online,99.64
345,UX71,Online,94.93
346,WD28,Online,77.54
346,MB56,Offline,61.75
346,MB54,Offline,84.1
347,BI08,Offline,79.15
347,WD32,Online,86.26
347,DV50,Online,70.01
348,PY76,Online,77.74
348,CS20,Offline,97.66
348,DS45,Offline,94.76
348,MB44,Online,81.07
348,PY62,Offline,72.75
349,TS29,Offline,71.19
349,CS75,Online,96.48
349,WD73,Online,72.2
349,PY62,Online,64.91
349,PY76,Online,61.43
350,MB54,Online,79.96
350,MB56,Online,70.81
350,WD28,Offline,72.02
351,WD28,Offline,60.75
351,PY07,Offline,75.39
351,MB69,Online,68.98
352,AI33,Online,86.42
352,PY74,Online,81.66
352,UX41,Offline,97.49
352,CS22,Offline,96.91
353,WD77,Offline,89.03
353,AI78,Offline,94.63
353,UX53,Online,92.3
353,DS79,Offline,98.1
354,WD80,Offline,66.5
354,CS64,Offline,78.69
354,DV60,Online,65.27
354,MB37,Online,71.23
354,BI02,Offline,63.42
355,MB54,Offline,61.54
355,CS75,Offline,74.47
355,WD30,Offline,91.3
356,AI55,Online,77.75
356,CS49,Online,77.6
356,DV50,Offline,61.48
356,MB03,Offline,79.21
356,CS18,Online,76.34
357,AI17,Online,77.62
357,UX31,Offline,90.64
357,WD43,Offline,70.38
357,WD67,Offline,65.09
357,DV81,Online,65.88
358,DS09,Offline,83.2
358,PY07,Online,82.14
358,TS46,Online,62.43
358,BI08,Offline,99.01
358,BI06,Online,87.14
359,WD67,Offline,64.37
359,MB16,Offline,64.53
359,WD43,Online,69.48
359,DV25,Offline,82.81
360,BI36,Online,73.06
360,DS09,Offline,73.4
360,CS70,Offline,95.9
360,WD73,Offline,78.83
360,UX31,Offline,84.88
361,PY62,Online,96.47
361,DS09,Online,64.25
361,PY82,Online,92.32
362,BI83,Online,75.24
362,UX41,Online,98.21
362,DS84,Online,82.62
362,MB54,Offline,81.56
362,DS79,Online,93.9
363,DS09,Online,93.44
363,DS65,Offline,96.44
363,BI83,Offline,69.72
363,PY15,Offline,69.24
363,MB37,Offline,89.93
364,PY07,Offline,74.48
364,BI06,Offline,82.42
364,BI08,Online,96.59
365,UX71,Online,82.77
365,CS11,Online,97.03
365,CS70,Online,91.06
365,CS57,Offline,86.96
365,CS49,Online,84.22
366,CS12,Offline,76.84
366,BI83,Online,83.04
366,BI06,Online,95.99
366,UX71,Offline,60.62
367,UX41,Offline,89.71
367,CS05,Online,94.78
367,PY85,Offline,60.96
368,CS18,Offline,74.17
368,WD73,Offline,87.88
368,AI86,Online,88.48
369,DS45,Online,99.77
369,TS29,Online,62.95
369,UX71,Offline,98.0
370,DV25,Online,89.34
370,WD23,Online,66.09
370,PY24,Online,83.74
370,CS22,Offline,86.96
371,UX31,Offline,97.79
371,DV35,Online,69.29
371,BI08,Offline,73.64
371,PY21,Offline,71.41
372,AI17,Online,77.22
372,TS34,Offline,83.01
372,WD43,Offline,63.98
372,DS09,Offline,66.62
373,AI78,Online,71.54
373,MB44,Offline,99.55
373,WD43,Online,96.98
373,AI33,Offline,65.64
374,CS75,Online,98.39
374,DS79,Online,60.27
374,MB54,Online,74.78
375,DS84,Offline,71.8
375,BI36,Online,88.65
375,UX31,Online,77.78
375,AI55,Offline,79.73
376,TS34,Offline,92.15
376,AI78,Online,89.09
376,AI33,Offline,66.27
377,DS61,Online,88.27
377,MB03,Offline,95.69
377,PY74,Online,77.34
377,WD67,Offline,67.62
378,UX87,Offline,94.88
378,BI02,Online,86.93
378,BI06,Offline,78.8
378,WD67,Offline,92.55
378,DS61,Offline,71.3
379,CS11,Offline,62.69
379,AI88,Online,88.4
379,UX87,Online,76.73
380,DS61,Offline,79.37
380,PY24,Online,95.12
380,DV60,Online,95.0
380,TS34,Offline,79.61
381,CS20,Online,68.76
381,DS45,Offline,76.78
381,UX71,Offline,73.02
381,BI36,Offline,64.63
381,TS34,Offline,98.25
382,BI19,Offline,93.6
382,MB40,Offline,84.04
382,AI27,Online,61.16
382,DV89,Offline,80.3
382,TS90,Offline,62.43
383,CS22,Offline,77.01
383,WD23,Offline,96.49
383,PY24,Offline,79.42
383,DV25,Online,73.59
384,CS11,Online,82.9
384,DS91,Online,81.44
384,CS12,Online,97.92
385,TS46,Offline,63.61
385,BI08,Offline,96.49
385,DS09,Online,86.2
385,BI06,Online,74.48
385,PY07,Online,99.41
386,AI86,Offline,76.54
386,AI78,Online,97.6
386,BI92,Online,93.82
386,WD80,Online,80.06
386,AI17,Offline,61.69
387,AI27,Online,61.35
387,CS66,Online,92.52
387,CS57,Offline,86.21
387,CS04,Online,92.73
388,BI19,Online,60.59
388,TS90,Online,63.82
388,AI27,Offline,67.77
388,DV89,Offline,91.39
389,MB37,Offline,68.11
389,MB01,Offline,98.77
389,DS10,Offline,75.06
389,PY21,Offline,63.72
390,DS61,Online,75.3
390,PY62,Offline,89.1
390,AI33,Offline,90.51
390,AI17,Online,78.09
391,UX13,Offline,79.07
391,CS20,Online,85.71
391,DS14,Offline,65.75
391,PY15,Online,63.82
391,BI36,Online,68.31
392,DV50,Offline,84.66
392,WD73,Offline,80.94
392,MB52,Online,62.36
392,AI33,Offline,70.08
393,DS58,Offline,87.56
393,MB54,Offline,94.86
393,UX53,Offline,87.62
393,PY63,Offline,81.82
394,DS61,Offline,80.58
394,UX53,Online,96.85
394,TS34,Offline,87.97
394,DV89,Offline,65.09
395,BI08,Online,77.5
395,WD32,Online,61.56
395,UX31,Offline,79.81
396,CS04,Offline,60.37
396,MB03,Online,77.42
396,MB26,Offline,88.8
396,CS05,Offline,80.9
396,BI02,Offline,82.55
397,PY21,Offline,80.78
397,DS10,Offline,78.88
397,MB03,Online,97.45
398,UX41,Offline,76.65
398,BI83,Online,78.82
398,CS12,Online,72.47
398,UX71,Online,67.97
398,BI06,Online,81.51
399,UX13,Online,62.67
399,WD23,Online,73.8
399,CS22,Online,97.12
399,PY24,Offline,71.37
400,BI36,Offline,82.44
400,DV50,Online,63.1
400,DV47,Online,64.12
400,AI88,Online,71.2
401,DV50,Offline,83.03
401,PY63,Offline,98.67
401,WD32,Offline,68.37
401,TS34,Online,91.33
402,UX41,Online,65.73
402,DS45,Offline,94.98
402,MB54,Offline,63.11
403,UX41,Offline,73.08
403,UX71,Online,69.63
403,BI83,Offline,75.09
404,MB54,Offline,81.23
404,MB69,Online,98.21
404,DS72,Offline,88.45
404,PY62,Offline,82.42
405,PY62,Offline,86.08
405,AI88,Online,61.01
405,UX93,Offline,94.21
405,MB54,Offline,89.14
406,CS42,Offline,67.16
406,BI38,Online,67.83
407,CS05,Offline,63.76
407,UX93,Offline,96.63
407,PY62,Online,84.27
407,MB69,Online,85.89
408,AI27,Offline,85.01
408,DV81,Online,94.53
408,PY63,Offline,99.89
408,DV50,Offline,79.61
408,CS18,Offline,90.0
409,BI38,Online,88.23
409,AI88,Online,94.84
409,CS11,Online,63.31
409,CS12,Online,62.24
409,DS84,Online,72.57
410,PY62,Offline,95.91
410,AI33,Online,96.23
410,DS61,Offline,80.65
410,WD94,Offline,76.66
410,AI17,Online,62.6
411,WD73,Online,71.02
411,DV95,Online,87.55
411,CS18,Offline,66.92
411,PY85,Online,72.45
411,DS59,Offline,64.71
412,DS84,Online,64.65
412,UX31,Online,67.3
412,DS09,Online,67.43
412,BI36,Online,90.67
413,CS11,Online,95.09
413,CS75,Online,72.31
413,UX71,Online,89.9
414,DV35,Offline,67.12
414,CS70,Online,82.6
414,BI08,Offline,69.04
414,CS57,Online,70.91
414,MB56,Online,67.08
415,DV95,Offline,74.21
415,PY85,Offline,73.95
415,DS14,Offline,93.18
415,MB52,Online,61.47
416,AI17,Offline,85.84
416,AI33,Offline,68.3
416,PY62,Offline,63.63
416,WD94,Online,70.33
416,DS61,Offline,70.43
417,MB16,Online,78.69
417,DS10,Offline,74.89
417,MB69,Offline,86.33
418,DV89,Offline,94.77
418,DS14,Online,66.35
418,DS10,Offline,73.39
419,DS09,Offline,81.87
419,AI55,Online,77.56
419,WD73,Offline,83.74
419,DS84,Offline,89.24
419,CS70,Offline,93.36
420,AI86,Offline,72.01
420,WD77,Online,90.53
420,DS59,Online,76.84
420,DV47,Offline,98.16
421,UX87,Offline,95.46
421,MB69,Online,98.06
421,DS61,Online,65.2
421,BI06,Offline,91.54
422,BI19,Online,92.06
422,BI36,Offline,75.84
422,DV81,Offline,60.03
423,AI33,Offline,63.22
423,DS61,Online,94.31
423,AI17,Offline,63.61
424,CS05,Online,79.09
424,TS46,Offline,64.0
424,MB37,Offline,87.95
425,BI92,Online,75.5
425,TS34,Offline,90.52
425,UX96,Online,76.0
425,WD32,Offline,95.92
426,DS72,Offline,79.53
426,PY62,Online,68.87
426,CS05,Online,90.71
426,MB54,Offline,74.49
426,UX93,Online,84.42
427,CS18,Online,61.77
427,DS59,Offline,77.42
427,WD77,Offline,75.36
427,DV47,Online,77.03
428,DV50,Offline,98.34
428,PY85,Offline,67.18
428,AI97,Offline,87.29
428,AI55,Online,78.6
429,AI78,Online,66.44
429,UX53,Online,82.99
429,MB40,Offline,87.45
430,MB44,Online,72.12
430,DS84,Offline,89.68
430,BI02,Online,84.15
431,MB56,Offline,93.77
431,DV47,Offline,64.47
431,DS58,Online,99.23
431,CS70,Offline,94.81
432,WD32,Offline,67.9
432,PY63,Offline,77.4
432,BI08,Offline,71.27
433,PY48,Offline,62.0
433,CS42,Offline,70.09
433,PY62,Offline,87.0
434,TS29,Offline,74.28
434,UX71,Online,77.87
434,PY15,Offline,85.44
435,PY63,Online,63.36
435,BI08,Online,65.04
435,UX96,Online,85.32
435,TS34,Offline,95.71
435,DV50,Offline,98.87
436,MB56,Online,73.06
436,MB52,Online,65.87
436,AI55,Online,75.28
436,MB54,Online,73.51
436,WD28,Offline,76.9
437,TS34,Offline,98.61
437,AI78,Online,82.84
437,AI33,Offline,84.62
438,DS59,Online,90.43
438,UX13,Offline,70.99
438,MB69,Online,71.07
438,MB54,Online,84.18
438,WD77,Online,87.13
439,WD94,Offline,86.29
439,AI17,Offline,70.68
439,DS61,Offline,63.89
439,PY62,Online,60.72
440,CS18,Offline,83.52
440,CS11,Offline,81.66
440,MB16,Offline,97.19
440,AI17,Online,73.72
441,DV60,Offline,68.43
441,UX31,Online,86.92
441,WD32,Offline,76.12
441,AI55,Online,85.26
442,WD73,Offline,90.03
442,DS09,Offline,86.98
442,AI55,Online,66.24
442,CS70,Online,84.97
442,DS84,Offline,76.62
443,MB40,Offline,96.85
443,AI27,Online,75.14
443,WD28,Online,63.88
444,DS10,Online,94.6
444,WD28,Offline,82.0
444,PY07,Offline,90.05
445,BI02,Online,86.57
445,CS64,Offline,80.09
445,MB37,Offline,69.0
445,TS46,Offline,79.79
446,BI08,Offline,71.54
446,BI06,Offline,90.52
446,DS09,Online,87.33
446,TS46,Online,75.33
447,CS20,Online,65.54
447,TS29,Online,83.98
447,BI36,Offline,97.82
447,PY15,Offline,84.39
447,UX13,Online,82.77
448,DS68,Offline,82.08
448,WD28,Online,94.01
448,PY07,Online,78.31
448,MB16,Online,67.01
449,CS18,Online,68.28
449,DV35,Offline,78.37
449,WD77,Offline,99.59
449,CS20,Online,98.91
449,CS42,Online,92.15
450,PY07,Online,60.28
450,CS22,Online,87.28
450,AI17,Offline,94.68
450,CS75,Offline,94.49
451,AI17,Online,88.63
451,PY62,Online,77.54
451,DS61,Online,71.72
452,DS10,Offline,77.14
452,DV60,Online,64.14
452,AI55,Offline,90.32
452,UX31,Online,88.88
453,AI17,Offline,68.4
453,MB16,Online,73.2
453,CS18,Online,78.33
453,CS11,Offline,90.1
454,DV60,Offline,91.49
454,DS61,Offline,82.73
454,PY24,Online,90.45
454,MB26,Online,80.87
455,DS10,Offline,72.27
455,PY07,Online,82.71
455,MB16,Offline,79.01
456,CS70,Online,84.3
456,UX31,Offline,70.29
456,CS22,Online,61.12
456,WD43,Online,83.33
457,MB37,Offline,88.85
457,MB01,Offline,79.08
457,DS10,Online,98.9
458,DV35,Offline,75.12
458,DS61,Offline,85.94
458,CS20,Offline,67.02
458,DV25,Offline,60.57
458,DS72,Online,73.69
459,PY21,Online,86.0
459,MB03,Offline,79.95
459,MB37,Online,93.6
459,CS05,Online,89.66
460,WD28,Offline,80.3
460,UX31,Offline,82.13
460,DV35,Online,98.82
460,DV98,Online,77.87
461,BI08,Online,69.13
461,DV98,Offline,67.1
461,BI19,Offline,82.08
461,DV35,Online,89.72
461,PY21,Online,96.25
462,CS20,Online,69.1
462,CS64,Offline,78.57
462,PY07,Online,72.75
463,BI19,Online,79.04
463,DV89,Online,81.69
463,AI27,Online,83.93
463,TS90,Offline,82.77
463,MB40,Offline,94.45
464,CS20,Offline,99.69
464,PY76,Offline,90.18
464,AI27,Offline,79.7
465,BI36,Offline,98.06
465,DS58,Offline,70.57
465,CS12,Online,73.65
466,CS64,Online,79.5
466,BI02,Offline,95.73
466,WD80,Offline,79.83
466,DV60,Online,62.62
466,PY63,Offline,86.92
467,AI27,Online,67.74
467,MB40,Online,90.51
467,TS29,Online,72.29
468,PY62,Online,82.84
468,AI17,Online,72.95
468,WD94,Online,90.66
468,AI33,Online,94.09
469,PY24,Offline,69.15
469,CS22,Offline,78.88
469,DV25,Offline,74.83
469,WD23,Offline,73.35
469,UX13,Offline,93.17
470,AI27,Offline,60.23
470,MB40,Offline,62.21
470,MB16,Offline,74.14
470,TS29,Online,99.0
471,WD28,Online,86.48
471,MB03,Offline,71.79
471,DS45,Offline,60.95
471,WD73,Offline,91.64
472,BI38,Offline,94.26
472,DS68,Online,62.98
472,DS84,Online,73.02
472,AI88,Offline,97.66
473,BI36,Offline,99.48
473,DS09,Offline,62.37
473,CS70,Online,85.59
473,DS84,Offline,81.52
473,UX31,Offline,96.94
474,DV60,Offline,99.09
474,UX93,Offline,92.97
474,PY63,Online,83.59
475,BI36,Offline,82.91
475,CS64,Offline,82.27
475,PY63,Offline,87.58
475,MB39,Online,90.88
475,UX53,Online,94.83
476,CS12,Offline,78.73
476,BI83,Offline,74.49
476,UX41,Online,87.11
476,BI06,Offline,70.21
476,UX71,Online,65.61
477,CS57,Online,93.27
477,CS70,Online,96.52
477,CS49,Offline,60.65
477,UX71,Offline,99.83
477,CS11,Offline,91.61
478,PY62,Online,82.61
478,MB54,Online,81.27
478,MB69,Online,82.96
478,UX93,Offline,84.4
479,CS42,Offline,78.63
479,BI38,Online,86.02
480,CS22,Offline,78.16
480,CS70,Offline,95.58
480,WD43,Offline,82.99
481,AI78,Online,69.01
481,WD73,Offline,66.02
481,DS79,Online,83.38
482,DS14,Offline,95.73
482,PY48,Online,67.55
482,CS57,Online,68.25
482,AI27,Online,64.04
483,UX13,Offline,94.82
483,MB69,Online,86.33
483,MB54,Online,72.12
483,DV47,Offline,99.64
483,WD77,Online,97.45
484,AI17,Offline,64.92
484,WD80,Offline,61.02
484,AI86,Online,75.22
485,MB54,Offline,83.61
485,CS05,Online,63.71
485,MB26,Online,80.27
485,AI88,Online,66.52
486,CS11,Offline,89.99
486,DS58,Offline,76.61
486,BI36,Online,99.41
487,MB37,Offline,60.65
487,CS49,Offline,92.14
487,CS12,Offline,98.46
487,DS58,Online,74.19
487,CS11,Offline,93.46
488,AI78,Offline,95.04
488,WD99,Online,98.05
488,AI33,Offline,89.19
488,AI17,Offline,61.81
489,CS18,Online,80.74
489,PY76,Online,87.8
489,CS11,Online,62.45
490,CS22,Offline,92.93
490,WD23,Offline,66.9
490,DV25,Online,89.68
491,CS42,Offline,68.16
491,TS34,Offline,85.01
491,WD32,Offline,84.88
491,WD77,Online,91.33
491,DS79,Offline,61.14
492,WD28,Online,81.58
492,DS45,Online,66.33
492,AI33,Online,73.95
492,UX41,Online,63.68
493,CS18,Offline,94.25
493,DV47,Offline,65.38
493,DS59,Online,72.46
494,DS59,Offline,98.28
494,BI08,Online,79.11
494,UX31,Online,65.03
494,DV60,Online,92.22
495,CS18,Offline,71.29
495,CS11,Online,69.99
495,PY76,Offline,67.39
496,CS64,Online,73.12
496,WD30,Offline,86.45
496,DS65,Online,89.92
496,CS20,Offline,85.28
496,BI06,Online,99.18
497,PY62,Online,66.48
497,WD73,Offline,60.47
497,MB44,Offline,79.35
498,WD73,Offline,99.71
498,PY74,Offline,84.85
498,DV50,Offline,64.71
498,UX41,Offline,86.22
499,DV50,Offline,90.88
499,DV47,Offline,86.53
499,BI19,Offline,90.53
499,CS18,Offline,62.52
499,AI27,Offline,77.06
500,DS61,Online,99.0
500,AI33,Online,64.81
500,WD94,Offline,65.05
501,CS12,Online,75.9
501,UX71,Online,65.67
501,UX41,Online,91.04
501,BI06,Online,89.34
502,MB16,Online,92.01
502,DS68,Offline,81.58
502,DS10,Online,74.98
502,PY07,Online,87.22
503,BI36,Online,71.14
503,MB54,Offline,71.86
503,DS58,Offline,95.75
503,UX53,Offline,72.88
503,MB39,Offline,60.01
504,MB03,Online,62.37
504,MB37,Offline,65.61
504,DS10,Offline,92.9
504,MB01,Online,75.65
505,PY85,Online,69.94
505,WD77,Offline,62.82
505,MB54,Offline,65.62
506,BI08,Online,68.23
506,UX31,Online,86.89
506,PY48,Offline,60.43
506,DS58,Online,80.82
507,UX53,Offline,92.89
507,CS51,Offline,66.15
507,MB16,Offline,95.01
507,AI78,Online,75.26
507,MB54,Offline,64.51
508,AI86,Offline,68.99
508,WD73,Online,63.54
508,PY85,Offline,69.65
508,DS14,Offline,93.47
509,AI86,Offline,93.69
509,WD80,Offline,96.19
509,AI17,Offline,76.79
509,BI92,Offline,99.32
510,UX93,Offline,69.71
510,MB54,Offline,68.86
510,AI88,Offline,86.63
511,DV47,Offline,61.68
511,AI86,Online,83.61
511,DS91,Online,83.03
512,CS11,Offline,88.73
512,CS75,Online,73.89
512,CS57,Offline,94.09
513,DS61,Online,82.68
513,TS34,Online,85.22
513,MB26,Offline,63.95
513,DV60,Offline,92.08
513,PY24,Offline,93.98
514,PY74,Offline,77.84
514,BI02,Online,72.98
514,MB69,Offline,90.74
514,BI06,Online,68.38
515,MB37,Offline,94.27
515,WD80,Offline,74.07
515,DV60,Online,72.66
515,BI02,Offline,64.05
515,PY63,Online,85.58
516,MB03,Online,70.59
516,CS22,Offline,74.02
516,CS18,Offline,95.83
516,CS20,Online,98.37
517,WD32,Offline,96.35
517,WD99,Offline,90.27
517,DV47,Online,75.92
517,DS91,Online,67.94
518,CS22,Offline,65.83
518,DS65,Offline,81.31
518,AI17,Offline,65.32
519,AI88,Online,72.95
519,DS58,Online,77.7
519,CS49,Online,69.84
519,DS84,Online,86.7
520,DS10,Online,69.81
520,UX31,Online,77.61
520,WD32,Online,65.82
520,DV60,Offline,69.75
521,DS58,Online,76.49
521,TS90,Offline,85.09
521,AI88,Offline,89.87
522,UX31,Offline,96.0
522,PY48,Online,72.81
522,UX93,Offline,63.08
522,AI33,Online,72.87
522,DV47,Online,91.82
523,MB26,Online,92.29
523,UX53,Online,88.8
523,CS51,Online,78.61
523,DS72,Online,78.41
523,TS46,Offline,79.89
524,CS42,Online,82.4
524,BI38,Online,95.83
525,MB26,Offline,82.79
525,UX53,Online,88.54
525,AI78,Offline,77.23
525,MB52,Online,99.45
526,BI38,Offline,73.22
526,CS42,Offline,65.77
527,CS20,Offline,83.5
527,WD23,Online,84.55
527,DV89,Offline,89.22
527,BI19,Online,69.95
527,DS14,Online,93.43
528,AI86,Online,63.77
528,WD80,Offline,82.96
528,AI78,Offline,92.2
529,AI27,Online,72.45
529,DV89,Online,88.29
529,TS90,Offline,79.99
529,BI19,Online,70.42
530,DS84,Online,73.59
530,CS75,Online,80.95
530,BI83,Online,95.17
531,DS59,Online,66.74
531,PY63,Online,60.19
531,WD94,Offline,72.25
532,DV35,Offline,67.27
532,PY21,Online,99.03
532,WD30,Online,94.88
532,UX31,Online,83.99
532,MB26,Online,95.66
533,AI33,Online,92.29
533,DS61,Offline,97.4
533,AI17,Online,73.96
533,WD94,Online,83.6
533,PY62,Online,96.01
534,DS59,Offline,91.36
534,WD73,Online,86.75
534,DS58,Online,73.53
534,DS14,Offline,65.66
535,DS59,Online,96.66
535,MB39,Offline,92.44
535,BI19,Online,93.91
535,MB16,Online,86.54
536,MB03,Online,71.3
536,CS49,Online,77.92
536,AI97,Online,71.72
536,PY85,Offline,76.17
537,WD80,Online,72.86
537,AI86,Offline,84.39
537,BI92,Offline,79.9
537,AI78,Offline,90.83
538,WD94,Online,85.64
538,DS61,Online,81.37
538,AI17,Online,98.67
538,PY62,Offline,67.53
538,AI33,Online,92.95
539,PY48,Offline,87.25
539,CS42,Online,96.43
539,DS59,Online,78.29
539,BI19,Online,95.69
539,WD94,Offline,62.92
540,BI36,Online,61.81
540,AI55,Offline,68.24
540,DS84,Online,96.97
541,DV25,Online,99.48
541,CS70,Online,74.87
541,DV81,Offline,61.79
542,CS42,Offline,87.22
542,BI38,Offline,68.2
543,DV25,Offline,75.09
543,CS57,Online,92.67
543,MB56,Offline,70.14
543,BI08,Online,85.06
543,BI02,Offline,61.67
544,AI33,Online,85.5
544,PY74,Online,66.36
544,DS45,Offline,62.66
544,WD73,Offline,66.69
545,MB40,Offline,64.34
545,AI27,Online,75.8
545,MB16,Online,98.01
545,TS29,Offline,68.03
545,WD28,Online,78.76
546,UX41,Offline,67.38
546,WD30,Online,69.67
546,DS79,Offline,77.52
547,MB03,Online,90.74
547,CS04,Offline,61.75
547,MB01,Online,97.94
548,DV25,Offline,68.03
548,BI02,Online,75.65
548,TS34,Online,97.87
548,DS72,Online,69.01
549,MB16,Online,93.74
549,AI78,Offline,82.27
549,CS51,Online,81.88
549,MB52,Offline,62.27
549,TS46,Online,76.4
550,MB01,Offline,61.54
550,CS04,Online,87.37
550,MB26,Online,75.25
550,CS05,Online,92.55
550,MB03,Online,94.28
551,CS11,Offline,71.3
551,AI88,Offline,77.99
551,BI38,Online,87.32
551,MB37,Offline,73.81
551,DS68,Offline,79.17
552,BI02,Online,65.78
552,DV25,Online,98.52
552,DS72,Offline,99.97
553,CS75,Offline,65.76
553,UX13,Offline,76.41
553,AI17,Online,99.5
554,CS70,Online,97.68
554,UX31,Offline,95.34
554,WD73,Offline,89.34
555,MB40,Offline,86.61
555,DS58,Online,88.93
555,CS05,Online,69.84
555,TS90,Online,82.74
556,TS29,Offline,68.54
556,MB40,Online,78.81
556,MB16,Offline,72.01
556,AI27,Offline,62.04
556,WD28,Online,73.51
557,UX31,Offline,67.21
557,BI36,Offline,60.95
557,DS84,Online,75.44
558,MB52,Offline,83.0
558,CS11,Online,66.03
558,CS20,Offline,78.74
558,WD23,Online,90.5
558,UX96,Offline,72.65
559,BI38,Online,60.86
559,WD32,Online,73.26
559,DV95,Online,72.53
559,DV47,Offline,68.12
559,AI86,Online,98.32
560,BI02,Offline,79.0
560,PY63,Online,71.59
560,WD80,Online,92.09
560,CS64,Online,96.03
561,DS72,Offline,66.33
561,CS57,Offline,87.99
561,UX53,Offline,87.6
562,CS75,Online,90.23
562,PY62,Online,95.21
