OptionID|OptionText|QuestionID|IsCorrect
498|False|164|0
501|HTTPS|166|1
502|FTP|166|0
503|SMTP|166|0
504|HTTP|166|0
505|True|167|1
506|False|167|0
523|True|173|0
524|False|173|1
529|Adjusts to screen size|175|1
530|Fixed layout|175|0
531|Hardcoded dimensions|175|0
532|Print layout|175|0
541|Correct technical answer|178|1
542|Close but wrong|178|0
543|Unrelated concept|178|0
544|Random guess|178|0
557|True|182|1
558|False|182|0
559|Correct technical answer|183|1
560|Close but wrong|183|0
561|Unrelated concept|183|0
562|Random guess|183|0
563|True|184|0
564|False|184|1
571|True|187|0
572|False|187|1
573|True|188|1
574|False|188|0
575|Adjusts to screen size|189|1
576|Fixed layout|189|0
577|Hardcoded dimensions|189|0
578|Print layout|189|0
589|Adjusts to screen size|193|1
590|Fixed layout|193|0
591|Hardcoded dimensions|193|0
592|Print layout|193|0
593|True|194|0
594|False|194|1
611|True|200|1
612|False|200|0
619|Extract, Transform, Load|203|1
620|Enter, Transfer, Load|203|0
621|Export, Translate, Link|203|0
622|Extract, Translate, Load|203|0
631|True|208|1
632|False|208|0
639|True|211|1
640|False|211|0
641|True|212|1
642|False|212|0
647|True|214|0
648|False|214|1
655|Java|217|1
656|Swift|217|0
657|Kotlin|217|0
658|Dart|217|0
661|Correct technical answer|219|1
662|Close but wrong|219|0
663|Unrelated concept|219|0
664|Random guess|219|0
667|Correct technical answer|221|1
668|Close but wrong|221|0
669|Unrelated concept|221|0
670|Random guess|221|0
675|True|224|1
676|False|224|0
679|True|226|1
680|False|226|0
687|True|229|0
688|False|229|1
689|Correct technical answer|230|1
690|Close but wrong|230|0
691|Unrelated concept|230|0
692|Random guess|230|0
701|True|233|1
702|False|233|0
705|True|235|0
706|False|235|1
707|Java|236|1
708|Swift|236|0
709|Kotlin|236|0
710|Dart|236|0
711|Correct technical answer|237|1
712|Close but wrong|237|0
713|Unrelated concept|237|0
714|Random guess|237|0
721|Correct technical answer|240|1
722|Close but wrong|240|0
723|Unrelated concept|240|0
724|Random guess|240|0
733|True|244|0
734|False|244|1
737|HTTPS|246|1
738|FTP|246|0
739|SMTP|246|0
740|HTTP|246|0
741|True|247|1
742|False|247|0
755|True|251|1
756|False|251|0
759|True|253|1
760|False|253|0
761|True|254|1
762|False|254|0
763|True|255|1
764|False|255|0
769|True|257|1
770|False|257|0
773|HTTPS|259|1
774|FTP|259|0
775|SMTP|259|0
776|HTTP|259|0
777|Predictive Analytics|260|1
778|Descriptive Analytics|260|0
779|Diagnostic Analytics|260|0
780|Prescriptive Analytics|260|0
783|True|262|1
784|False|262|0
785|True|263|1
786|False|263|0
787|HTTPS|264|1
788|FTP|264|0
789|SMTP|264|0
790|HTTP|264|0
793|HTTPS|266|1
794|FTP|266|0
795|SMTP|266|0
796|HTTP|266|0
797|True|267|1
798|False|267|0
817|Worm|273|1
818|Firewall|273|0
819|Trojan|273|0
820|Phishing|273|0
825|Adjusts to screen size|275|1
826|Fixed layout|275|0
827|Hardcoded dimensions|275|0
828|Print layout|275|0
835|True|278|0
836|False|278|1
849|Worm|282|1
850|Firewall|282|0
851|Trojan|282|0
852|Phishing|282|0
853|True|283|0
854|False|283|1
855|Correct technical answer|284|1
856|Close but wrong|284|0
857|Unrelated concept|284|0
858|Random guess|284|0
865|Tableau|287|1
866|Excel|287|0
867|MS Word|287|0
868|Notepad|287|0
869|Adjusts to screen size|288|1
870|Fixed layout|288|0
871|Hardcoded dimensions|288|0
872|Print layout|288|0
873|Java|289|1
874|Swift|289|0
875|Kotlin|289|0
876|Dart|289|0
883|Java|293|1
884|Swift|293|0
885|Kotlin|293|0
886|Dart|293|0
887|Java|294|1
888|Swift|294|0
889|Kotlin|294|0
890|Dart|294|0
909|True|300|1
910|False|300|0
911|Decision Tree|19|1
912|K-Means|19|0
913|PCA|19|0
914|Apriori|19|0
915|Decision Tree|21|1
916|K-Means|21|0
917|PCA|21|0
918|Apriori|21|0
919|Decision Tree|24|1
920|K-Means|24|0
921|PCA|24|0
922|Apriori|24|0
923|Decision Tree|30|1
924|K-Means|30|0
925|PCA|30|0
926|Apriori|30|0
927|Decision Tree|37|1
928|K-Means|37|0
929|PCA|37|0
930|Apriori|37|0
931|Decision Tree|40|1
932|K-Means|40|0
933|PCA|40|0
934|Apriori|40|0
935|Decision Tree|78|1
936|K-Means|78|0
937|PCA|78|0
938|Apriori|78|0
939|Decision Tree|83|1
940|K-Means|83|0
941|PCA|83|0
942|Apriori|83|0
943|Decision Tree|84|1
944|K-Means|84|0
945|PCA|84|0
946|Apriori|84|0
947|Decision Tree|119|1
948|K-Means|119|0
949|PCA|119|0
950|Apriori|119|0
951|Decision Tree|121|1
952|K-Means|121|0
953|PCA|121|0
954|Apriori|121|0
955|Decision Tree|124|1
956|K-Means|124|0
957|PCA|124|0
958|Apriori|124|0
959|Decision Tree|130|1
960|K-Means|130|0
961|PCA|130|0
962|Apriori|130|0
963|Decision Tree|137|1
964|K-Means|137|0
965|PCA|137|0
966|Apriori|137|0
967|Decision Tree|140|1
968|K-Means|140|0
969|PCA|140|0
970|Apriori|140|0
971|Decision Tree|178|1
972|K-Means|178|0
973|PCA|178|0
974|Apriori|178|0
975|Decision Tree|183|1
976|K-Means|183|0
977|PCA|183|0
978|Apriori|183|0
979|Decision Tree|184|1
980|K-Means|184|0
981|PCA|184|0
982|Apriori|184|0
983|Decision Tree|219|1
984|K-Means|219|0
985|PCA|219|0
986|Apriori|219|0
987|Decision Tree|221|1
988|K-Means|221|0
989|PCA|221|0
990|Apriori|221|0
991|Decision Tree|224|1
992|K-Means|224|0
993|PCA|224|0
994|Apriori|224|0
995|Decision Tree|230|1
996|K-Means|230|0
997|PCA|230|0
998|Apriori|230|0
999|Decision Tree|237|1
1000|K-Means|237|0
1001|PCA|237|0
1002|Apriori|237|0
1003|Decision Tree|240|1
1004|K-Means|240|0
1005|PCA|240|0
1006|Apriori|240|0
1007|Decision Tree|278|1
1008|K-Means|278|0
1009|PCA|278|0
1010|Apriori|278|0
1011|Decision Tree|283|1
1012|K-Means|283|0
1013|PCA|283|0
1014|Apriori|283|0
1015|Decision Tree|284|1
1016|K-Means|284|0
1017|PCA|284|0
1018|Apriori|284|0
