StudentID,PositionTitle,HiringStatus,CompanyName,CompanyLevel,FinalEvaluation,GradutationDate
329,Data Analyst,Hired,Scott-Hogan,startup,80,2024-12-13
330,Data Analyst,Hired,"Alexander, Brown and Smith",multinational,80,2024-07-28
331,UX Designer,Hired,Washington-Osborne,national,80,2024-11-19
332,Software Engineer,Hired,Garcia Group,startup,80,2025-04-28
333,Software Engineer,Hired,"Peck, Thompson and Mullins",national,70,2024-10-28
334,Data Analyst,Hired,Roy-Ware,national,90,2024-01-24
335,Network Admin,Not Hired,No Company,None,90,2025-05-31
336,Software Engineer,Hired,Davis-Li,national,70,2025-06-07
337,UX Designer,Hired,Mccall LLC,multinational,90,2024-02-10
338,Software Engineer,Hired,"Burns, Moody and Ward",multinational,90,2025-02-25
339,Network Admin,Hired,"Lewis, Wilson and Stone",startup,70,2024-07-22
340,Network Admin,Hired,Long Ltd,multinational,80,2023-07-06
341,Network Admin,Hired,Mcdonald-Butler,national,90,2023-08-17
342,Network Admin,Hired,"Martin, Mcmahon and Aguilar",startup,70,2025-01-05
343,UX Designer,Hired,"Wood, Brown and Thompson",national,90,2025-03-31
344,Software Engineer,Hired,"Evans, Long and Stephenson",multinational,90,2025-03-19
345,UX Designer,Hired,Tate LLC,startup,70,2023-11-24
346,Software Engineer,Hired,"Russell, Lewis and Jones",multinational,90,2025-05-18
347,Software Engineer,Hired,Holland-Johnson,startup,80,2024-03-31
348,Data Analyst,Hired,Hernandez-Morrison,startup,70,2024-11-21
349,Data Analyst,Hired,Keith-Blair,startup,90,2025-03-01
350,Software Engineer,Hired,"Rodgers, Patterson and Mccarthy",multinational,80,2024-04-23
351,UX Designer,Hired,Garcia Inc,national,80,2023-10-08
352,Software Engineer,Hired,"Alexander, Ross and Kaufman",multinational,90,2024-08-27
353,Software Engineer,Hired,Myers-Williams,startup,70,2025-05-16
354,Network Admin,Hired,Clayton and Sons,startup,90,2023-07-28
355,Software Engineer,Hired,Manning Group,startup,70,2025-01-03
356,UX Designer,Hired,Frost PLC,multinational,70,2024-11-06
357,Software Engineer,Hired,Ferguson-Williams,national,90,2024-02-11
358,UX Designer,Hired,Garcia and Sons,startup,70,2023-09-17
359,UX Designer,Not Hired,No Company,None,70,2024-08-13
360,UX Designer,Hired,Houston Inc,national,90,2024-05-28
361,Network Admin,Hired,Orozco PLC,national,70,2023-11-22
362,Data Analyst,Hired,Wiggins-Jones,multinational,80,2023-12-13
363,Software Engineer,Hired,Hampton Group,national,70,2023-09-10
364,Network Admin,Hired,"Arnold, Gillespie and Rivera",national,70,2024-09-27
365,Data Analyst,Hired,Butler PLC,startup,80,2024-11-13
366,Network Admin,Hired,Martin-Stafford,multinational,80,2024-06-23
367,Data Analyst,Hired,Williams-Padilla,multinational,80,2025-06-06
368,Network Admin,Hired,Washington LLC,multinational,90,2024-01-12
369,Network Admin,Hired,Smith PLC,national,70,2025-04-18
370,UX Designer,Hired,Dominguez-Wilson,startup,80,2024-04-04
371,Software Engineer,Hired,Reid Group,startup,90,2023-12-30
372,UX Designer,Not Hired,No Company,None,80,2023-09-11
373,Software Engineer,Hired,Williams Inc,multinational,80,2025-01-24
374,Data Analyst,Hired,Lester-Bell,national,80,2024-08-12
375,Software Engineer,Hired,Whitaker-Webb,startup,90,2025-05-28
376,Software Engineer,Hired,King-Harris,national,80,2024-10-17
377,UX Designer,Hired,Hill PLC,startup,70,2024-01-02
378,Data Analyst,Hired,"Mckinney, Boyle and Maxwell",national,70,2025-05-06
379,UX Designer,Hired,Ellis-Suarez,multinational,80,2023-10-24
380,Data Analyst,Hired,Campos-Nash,multinational,70,2023-12-27
381,Network Admin,Not Hired,No Company,None,80,2023-08-30
382,Data Analyst,Hired,Young-Ware,startup,80,2024-03-26
383,Network Admin,Hired,Rodriguez and Sons,multinational,80,2023-10-08
384,Software Engineer,Hired,"Bradley, Perez and Dawson",national,80,2024-01-10
385,Network Admin,Hired,Schmidt-Woods,startup,80,2024-10-24
386,UX Designer,Hired,"Floyd, Rodriguez and Ward",national,80,2023-12-16
387,Network Admin,Hired,Ho-Combs,multinational,70,2024-07-27
388,Network Admin,Not Hired,No Company,None,90,2023-09-15
389,Data Analyst,Hired,Gonzales Inc,national,80,2024-05-18
390,UX Designer,Hired,Farmer Ltd,national,70,2023-08-19
391,Data Analyst,Hired,Kim LLC,startup,70,2024-04-10
392,Software Engineer,Not Hired,No Company,None,90,2024-01-04
393,Software Engineer,Hired,Krause-Caldwell,multinational,90,2024-02-09
394,UX Designer,Hired,"Schmidt, Hernandez and Tran",multinational,90,2023-06-26
395,Network Admin,Hired,"Miller, Mcmahon and Contreras",multinational,80,2024-04-25
396,Network Admin,Hired,"Keller, Wilson and Calhoun",national,80,2024-11-14
397,Network Admin,Hired,"Hammond, Bailey and Flowers",national,90,2024-08-06
398,Data Analyst,Hired,Molina-Johnson,startup,70,2023-08-22
399,Data Analyst,Hired,"Tran, Rogers and Munoz",multinational,80,2024-10-04
400,Network Admin,Not Hired,No Company,None,90,2024-05-11
401,Data Analyst,Hired,Stewart PLC,startup,70,2024-09-26
402,Network Admin,Hired,Rodriguez Ltd,multinational,80,2024-03-03
403,Software Engineer,Not Hired,No Company,None,90,2023-07-30
404,Network Admin,Hired,"Cruz, Parker and Hughes",national,70,2024-07-29
405,UX Designer,Hired,Anderson Group,startup,80,2023-08-19
406,UX Designer,Not Hired,No Company,None,80,2024-04-02
407,Network Admin,Not Hired,No Company,None,70,2025-03-09
408,Software Engineer,Hired,"Freeman, Singleton and Hill",multinational,70,2025-01-20
409,Software Engineer,Hired,Campbell-Barron,multinational,70,2024-06-26
410,Data Analyst,Hired,Kirby PLC,startup,80,2023-12-09
411,Network Admin,Hired,Miller Group,multinational,70,2024-08-22
412,UX Designer,Hired,"Martin, Luna and Ford",multinational,70,2023-12-16
413,Data Analyst,Hired,Johnson-Hinton,national,70,2025-02-11
414,Network Admin,Hired,"Caldwell, Jenkins and Rasmussen",multinational,80,2024-08-01
415,Data Analyst,Hired,Long-Hudson,national,90,2024-06-21
416,Data Analyst,Hired,"Nguyen, Smith and Allen",national,80,2024-07-30
417,Network Admin,Hired,"Beck, Cunningham and Jordan",national,70,2024-08-09
418,Network Admin,Hired,Garcia PLC,national,80,2025-02-18
419,Software Engineer,Hired,Ramirez-Singleton,national,90,2024-02-16
420,UX Designer,Hired,Jacobs PLC,startup,90,2024-04-08
421,Software Engineer,Hired,Sullivan-White,startup,70,2024-12-16
422,Network Admin,Not Hired,No Company,None,70,2024-07-03
423,UX Designer,Hired,"Leach, Williams and Mckay",multinational,70,2024-04-08
424,Data Analyst,Hired,"Myers, Moyer and Norman",multinational,80,2024-04-01
425,Network Admin,Hired,Willis Inc,national,90,2023-09-17
426,Software Engineer,Hired,Kennedy PLC,multinational,90,2024-01-10
427,UX Designer,Hired,Miller-Harris,multinational,70,2024-12-22
428,Network Admin,Hired,Dougherty LLC,multinational,90,2024-10-01
429,UX Designer,Hired,Zimmerman Inc,multinational,70,2024-06-07
430,Software Engineer,Hired,Taylor Group,national,80,2023-11-17
431,Network Admin,Not Hired,No Company,None,90,2023-08-16
432,UX Designer,Hired,"Krause, Miller and Jarvis",startup,70,2025-03-02
433,UX Designer,Hired,"Summers, Richardson and Lee",multinational,70,2023-11-14
434,Network Admin,Hired,Davis-Harris,national,70,2024-07-12
435,Data Analyst,Hired,"Martinez, Kelley and Wilson",startup,90,2024-06-11
436,UX Designer,Hired,"Mcfarland, Thomas and West",startup,90,2024-02-25
437,Network Admin,Hired,Zhang-Vang,national,90,2025-05-11
438,UX Designer,Hired,Jackson-Evans,startup,80,2025-05-31
439,Data Analyst,Hired,"Ford, Ramsey and Cardenas",startup,90,2024-12-03
440,Software Engineer,Hired,"Hill, Richardson and Taylor",startup,90,2023-12-08
441,UX Designer,Hired,"Rice, Gonzales and Holden",national,70,2023-10-12
442,Data Analyst,Hired,Mitchell LLC,startup,70,2023-06-30
443,Software Engineer,Hired,Mitchell and Sons,multinational,80,2024-06-18
444,Software Engineer,Hired,Ibarra-Davis,national,70,2023-07-01
445,UX Designer,Hired,Arias Group,startup,80,2023-12-01
446,Data Analyst,Hired,"Pierce, Rhodes and Patel",multinational,80,2025-05-03
447,Data Analyst,Hired,"King, Herrera and Moreno",multinational,80,2024-08-18
448,Software Engineer,Hired,Hicks PLC,startup,90,2024-09-08
449,UX Designer,Hired,"Huerta, Miranda and Chambers",national,90,2023-08-22
450,UX Designer,Hired,"Espinoza, Stewart and Hebert",startup,90,2023-12-12
451,Network Admin,Hired,Mendoza Inc,multinational,70,2024-09-02
452,UX Designer,Hired,Smith Group,multinational,70,2023-09-06
453,UX Designer,Hired,"Soto, Washington and Mccall",multinational,80,2023-11-15
454,Network Admin,Hired,Yang and Sons,multinational,90,2024-05-11
455,UX Designer,Hired,"Rogers, Armstrong and Irwin",startup,80,2025-01-30
456,Data Analyst,Hired,Miller Ltd,multinational,80,2023-09-02
457,Network Admin,Hired,Frederick Group,national,70,2025-06-07
458,Software Engineer,Hired,Graves and Sons,startup,70,2024-04-21
459,Data Analyst,Hired,Ortiz PLC,national,90,2025-04-03
460,UX Designer,Hired,"Sandoval, Avery and Anderson",startup,90,2024-11-08
461,Network Admin,Not Hired,No Company,None,80,2024-07-26
462,Data Analyst,Not Hired,No Company,None,80,2025-03-14
463,Data Analyst,Hired,"Wright, Petersen and Cook",multinational,70,2024-11-21
464,Software Engineer,Hired,Peterson Inc,startup,80,2025-04-10
465,Network Admin,Hired,Greer and Sons,startup,70,2024-11-05
466,Data Analyst,Hired,Moore-Reed,startup,90,2024-11-15
467,UX Designer,Not Hired,No Company,None,70,2023-07-24
468,Software Engineer,Hired,"Ortiz, Gomez and Baldwin",startup,70,2024-03-10
469,Network Admin,Hired,Mccarty-Trevino,startup,90,2024-10-25
470,Software Engineer,Hired,Sullivan-Ross,multinational,80,2024-01-13
471,Software Engineer,Hired,"Gentry, Cruz and Ross",multinational,80,2025-01-12
472,Software Engineer,Hired,Harrison-Brooks,multinational,90,2024-11-07
473,Software Engineer,Hired,"Riley, Davis and Sexton",startup,80,2023-10-23
474,UX Designer,Hired,"Jones, Taylor and Lee",startup,70,2024-06-17
475,UX Designer,Hired,Herman Ltd,national,80,2023-10-18
476,Software Engineer,Hired,Brown-Greer,multinational,80,2023-08-06
477,Network Admin,Hired,"Gomez, Bruce and Fritz",multinational,80,2023-10-04
478,Network Admin,Hired,"Dorsey, Shea and Walton",startup,90,2023-12-09
479,Data Analyst,Hired,"Edwards, Larson and Sullivan",national,70,2023-07-06
480,UX Designer,Hired,Valenzuela-Solomon,national,70,2024-05-27
481,Network Admin,Hired,Navarro-Ward,startup,70,2024-12-18
482,UX Designer,Hired,Fuller-Morales,startup,90,2023-09-29
483,Network Admin,Hired,Ho-Nguyen,national,90,2025-05-26
484,Data Analyst,Hired,Taylor-Payne,startup,90,2025-05-12
485,Network Admin,Hired,Long Inc,national,80,2023-09-25
486,Data Analyst,Hired,Reynolds Group,startup,70,2023-08-29
487,Software Engineer,Hired,Gonzalez-Ramirez,multinational,80,2024-01-18
488,UX Designer,Hired,Wallace Ltd,multinational,80,2024-12-18
489,Data Analyst,Hired,Rodriguez-Townsend,startup,80,2023-12-04
490,Software Engineer,Not Hired,No Company,None,90,2024-03-29
491,UX Designer,Hired,"Barnes, Morgan and Johnson",startup,80,2025-04-28
492,Data Analyst,Not Hired,No Company,None,90,2023-10-24
493,Network Admin,Hired,Thompson-Page,multinational,80,2024-01-13
494,Network Admin,Hired,"Bryan, Farrell and Hernandez",multinational,70,2024-12-19
495,UX Designer,Hired,Montgomery-Weaver,multinational,90,2024-06-15
496,Network Admin,Hired,Owens and Sons,multinational,80,2024-01-28
497,UX Designer,Hired,"Curry, Fields and Fuentes",startup,80,2025-05-30
498,Software Engineer,Hired,Yates LLC,startup,70,2023-10-05
499,UX Designer,Hired,Schroeder-Garcia,national,90,2024-11-18
500,UX Designer,Hired,Martin and Sons,national,70,2024-09-11
501,UX Designer,Hired,"Smith, Hayes and Jackson",national,70,2024-10-20
502,Software Engineer,Not Hired,No Company,None,70,2024-10-09
503,Data Analyst,Hired,Espinoza-Sharp,multinational,70,2024-04-25
504,Data Analyst,Hired,Rodgers and Sons,national,80,2024-07-11
505,UX Designer,Hired,"Atkinson, King and Brown",national,80,2024-02-23
506,Software Engineer,Not Hired,No Company,None,70,2023-07-26
507,Software Engineer,Hired,Roberson-Lewis,multinational,90,2025-04-21
508,UX Designer,Hired,Boyd-Raymond,startup,80,2024-12-01
509,Network Admin,Hired,"Wilson, Mclaughlin and Hernandez",multinational,80,2025-01-06
510,UX Designer,Hired,Newton-Johnson,multinational,80,2025-05-25
511,Network Admin,Hired,Stout-Cantu,multinational,90,2025-03-08
512,Software Engineer,Hired,"Goodwin, Davis and Harris",startup,90,2024-09-22
513,Network Admin,Hired,"Conner, Dominguez and Ward",multinational,70,2023-10-10
514,Network Admin,Hired,Cruz PLC,startup,80,2025-04-08
515,Data Analyst,Not Hired,No Company,None,80,2023-12-11
516,Software Engineer,Hired,Stokes and Sons,national,80,2023-12-23
517,UX Designer,Hired,Clark-Martinez,national,70,2025-05-24
518,Network Admin,Hired,"Booker, Ochoa and Myers",multinational,70,2023-08-28
519,Data Analyst,Hired,"Wilson, Lewis and Wilson",multinational,80,2024-07-16
520,Data Analyst,Hired,Cole-Bell,startup,90,2024-09-01
521,Network Admin,Hired,Tate Ltd,startup,90,2024-04-19
522,UX Designer,Hired,Leon Group,startup,80,2023-07-12
523,UX Designer,Hired,"Hahn, Black and Williams",national,80,2024-03-06
524,Network Admin,Hired,Mercer LLC,startup,70,2023-12-29
525,Network Admin,Hired,"Rodriguez, Cross and Kim",multinational,90,2024-10-29
526,UX Designer,Hired,"Walker, Greene and Williams",startup,80,2025-05-29
527,Network Admin,Hired,"Hansen, Velasquez and Smith",national,80,2024-08-18
528,Software Engineer,Hired,White-Brown,multinational,90,2023-09-29
529,Software Engineer,Hired,Joseph Group,national,70,2025-01-09
530,Data Analyst,Hired,Thornton-Moore,national,80,2023-07-05
531,Data Analyst,Hired,"Stevens, Williams and Rodriguez",national,80,2023-09-11
532,Software Engineer,Hired,"Hansen, Daniel and Preston",national,70,2023-09-14
533,Data Analyst,Hired,"Craig, Escobar and Webster",startup,70,2023-09-01
534,Data Analyst,Hired,Ferrell Inc,startup,70,2025-06-01
535,Network Admin,Hired,Cannon and Sons,multinational,90,2025-05-11
536,Network Admin,Hired,"Castillo, Davies and Mcdaniel",national,90,2023-07-21
537,UX Designer,Hired,Harrison and Sons,national,80,2024-08-17
538,Data Analyst,Hired,"Johnson, Smith and Hawkins",multinational,90,2024-12-21
539,Software Engineer,Hired,Burns-Hernandez,national,80,2025-06-09
540,Network Admin,Hired,"Gilmore, Rivas and Salinas",multinational,80,2024-12-02
541,UX Designer,Hired,"Silva, Cummings and Collins",startup,90,2024-10-09
542,UX Designer,Not Hired,No Company,None,90,2023-07-01
543,Network Admin,Hired,"Chambers, Schroeder and Cook",national,90,2024-12-05
544,Data Analyst,Not Hired,No Company,None,90,2024-09-20
545,UX Designer,Hired,Smith-Davis,multinational,70,2023-07-25
546,Data Analyst,Hired,Cox-Lucas,multinational,70,2024-12-05
547,UX Designer,Hired,"Kennedy, Hampton and Farley",multinational,80,2023-10-05
548,Software Engineer,Hired,Carlson-Mosley,startup,80,2025-06-04
549,UX Designer,Hired,"Jackson, Ramsey and Rangel",startup,90,2023-09-16
550,UX Designer,Hired,Garcia LLC,national,90,2023-07-14
551,Network Admin,Hired,Bradford PLC,startup,80,2024-09-06
552,Software Engineer,Hired,Brown-Ramos,startup,80,2024-07-10
553,Network Admin,Not Hired,No Company,None,80,2025-05-20
554,Software Engineer,Hired,Day LLC,startup,80,2024-01-04
555,Network Admin,Hired,Taylor-Ramirez,national,70,2024-05-25
556,UX Designer,Hired,"King, Hughes and Cabrera",multinational,90,2025-01-08
557,UX Designer,Hired,"Short, Greene and Poole",startup,80,2023-11-09
558,Software Engineer,Hired,Barnes Group,multinational,70,2023-10-04
559,UX Designer,Hired,Hernandez-Taylor,multinational,90,2023-12-24
560,Network Admin,Hired,"Howard, Baker and Lowe",startup,70,2025-01-12
561,Data Analyst,Hired,Brown-Adams,national,90,2024-10-13
562,Software Engineer,Hired,"Roach, Stout and Mitchell",multinational,80,2024-08-02
563,Software Engineer,Hired,"Gutierrez, Garcia and Dodson",multinational,90,2025-04-13
564,Data Analyst,Hired,Leonard-Griffith,startup,90,2024-11-27
565,UX Designer,Hired,Wagner and Sons,multinational,70,2023-09-09
566,Software Engineer,Hired,"Wade, Davis and Davis",national,70,2025-06-06
567,Software Engineer,Hired,"Molina, Castaneda and Frey",multinational,90,2024-02-07
568,Network Admin,Hired,Moses Inc,startup,70,2023-09-04
569,Data Analyst,Hired,"Rich, Calhoun and Porter",multinational,80,2025-06-16
570,Data Analyst,Not Hired,No Company,None,70,2024-07-29
571,Data Analyst,Not Hired,No Company,None,90,2025-04-26
572,Data Analyst,Hired,"Mann, Martinez and Terry",multinational,90,2024-05-23
573,Network Admin,Hired,Greene Group,multinational,90,2025-01-04
574,Software Engineer,Not Hired,No Company,None,90,2023-12-18
575,UX Designer,Hired,"Price, Edwards and Murray",multinational,90,2023-06-23
576,UX Designer,Hired,"Mcneil, Payne and Adkins",national,90,2024-01-01
577,UX Designer,Not Hired,No Company,None,90,2023-10-17
578,Data Analyst,Hired,Park-Wright,national,70,2024-05-11
579,Network Admin,Hired,"Stanley, Meadows and Daniel",multinational,90,2023-12-12
580,UX Designer,Hired,Campos-Hall,national,70,2024-05-23
581,Network Admin,Hired,Hoover-Key,startup,80,2023-07-01
582,UX Designer,Hired,Price Ltd,national,80,2023-07-21
583,Data Analyst,Hired,Myers-Ruiz,national,70,2024-01-17
584,Software Engineer,Hired,Moses-Owen,startup,70,2023-11-19
585,Network Admin,Hired,Smith-Clark,startup,90,2024-12-15
586,Software Engineer,Hired,"Martin, Robertson and Jones",multinational,70,2024-03-31
587,Data Analyst,Hired,"Nelson, Mays and Sweeney",multinational,70,2023-10-11
588,Software Engineer,Hired,"Williams, Armstrong and Campbell",startup,80,2024-08-23
589,Data Analyst,Hired,"Brown, Herrera and Jackson",startup,70,2024-06-16
590,Network Admin,Hired,"Woods, Mann and Duke",startup,90,2024-08-02
591,Software Engineer,Hired,"Holmes, Callahan and Melendez",startup,90,2024-09-06
592,UX Designer,Hired,"Davis, Reed and Costa",multinational,70,2024-02-24
593,Software Engineer,Hired,Duncan-Lambert,multinational,80,2024-04-01
594,Network Admin,Hired,Harper-Zavala,multinational,80,2023-12-07
595,Network Admin,Hired,Lopez LLC,multinational,80,2024-12-13
596,Software Engineer,Hired,Herrera-Tran,startup,90,2023-11-01
597,Software Engineer,Hired,"Jackson, Munoz and Bridges",startup,90,2024-04-05
598,Network Admin,Hired,Wallace Group,multinational,80,2024-08-16
599,Software Engineer,Hired,Bray and Sons,startup,70,2025-01-25
600,UX Designer,Hired,"Sherman, Harris and Wilson",national,70,2024-11-26
601,Network Admin,Hired,"Green, Gill and Drake",startup,90,2023-11-09
602,UX Designer,Hired,Cooper PLC,multinational,70,2024-08-03
603,Software Engineer,Hired,Brewer-Jones,national,70,2023-08-30
604,Network Admin,Hired,"Garcia, Grant and Bond",startup,90,2024-01-03
605,Network Admin,Hired,Blevins Inc,multinational,70,2025-04-25
606,UX Designer,Hired,"Smith, Ramos and Smith",multinational,70,2024-12-28
607,UX Designer,Hired,Conner-Solomon,startup,80,2023-10-19
608,Software Engineer,Hired,Williams Group,multinational,80,2023-11-28
609,Data Analyst,Not Hired,No Company,None,80,2023-06-21
610,Data Analyst,Hired,"Weeks, Foster and Sweeney",national,90,2024-07-16
611,Software Engineer,Hired,Clark Inc,national,80,2023-09-21
612,Network Admin,Hired,"Tucker, Williams and Murphy",national,90,2023-11-20
613,Network Admin,Hired,Jensen-Collins,multinational,70,2024-01-07
614,Data Analyst,Not Hired,No Company,None,70,2024-08-28
615,Data Analyst,Hired,Lucas-Lee,national,90,2023-08-28
616,Network Admin,Not Hired,No Company,None,90,2025-06-12
617,Network Admin,Hired,Espinoza-Ali,multinational,70,2024-08-14
618,Software Engineer,Hired,Sweeney Ltd,national,70,2024-12-20
619,Data Analyst,Hired,Webb-Barnett,startup,80,2023-12-02
620,Data Analyst,Hired,Hester-Lee,startup,90,2023-07-17
621,UX Designer,Hired,"Weiss, Simon and Jensen",startup,90,2023-08-08
622,Software Engineer,Hired,Castaneda Ltd,national,70,2023-10-04
623,Software Engineer,Hired,Patton-Washington,startup,70,2025-05-09
624,Network Admin,Hired,"Moore, Weaver and Thompson",multinational,70,2023-08-30
625,UX Designer,Hired,Chapman-Morris,national,80,2024-07-25
626,Software Engineer,Hired,Adams Ltd,national,70,2024-10-01
627,UX Designer,Hired,"Cohen, Grimes and Macdonald",national,90,2023-11-01
628,Network Admin,Hired,Mitchell Ltd,startup,90,2023-10-22
629,UX Designer,Hired,Smith Ltd,startup,70,2024-04-29
630,Data Analyst,Hired,"Jones, Anderson and Barker",national,80,2023-11-25
631,UX Designer,Not Hired,No Company,None,70,2025-01-31
632,Software Engineer,Hired,"Howard, Evans and Jones",national,70,2024-06-18
633,Software Engineer,Hired,"Bradshaw, Tyler and Ewing",multinational,90,2024-09-05
634,Data Analyst,Hired,Douglas Inc,multinational,70,2024-12-05
635,Software Engineer,Hired,"Williams, Castillo and Houston",startup,70,2024-04-26
636,Network Admin,Hired,"Bowers, Collins and Watson",startup,80,2024-01-17
637,Data Analyst,Hired,Chan-George,national,80,2023-10-07
638,Network Admin,Hired,Williams PLC,startup,80,2025-01-03
639,Network Admin,Hired,Lewis LLC,national,90,2024-08-29
640,UX Designer,Not Hired,No Company,None,90,2025-01-18
641,Software Engineer,Hired,"Ortiz, Fisher and Dickerson",multinational,90,2024-09-05
642,UX Designer,Hired,Ward-Williams,startup,90,2024-10-22
643,Data Analyst,Hired,"Welch, Green and Anderson",national,80,2024-06-28
644,Software Engineer,Not Hired,No Company,None,70,2025-01-13
645,Network Admin,Hired,"Smith, Thompson and Anderson",startup,70,2025-06-11
646,Data Analyst,Not Hired,No Company,None,70,2023-12-26
647,UX Designer,Hired,Travis and Sons,national,70,2025-06-11
648,UX Designer,Hired,"Cummings, Oliver and Blankenship",national,90,2025-05-18
649,Software Engineer,Hired,Baker-Weaver,startup,90,2024-08-17
650,UX Designer,Hired,"Clark, Murphy and Zuniga",national,80,2024-07-22
651,Data Analyst,Hired,Lee-Harmon,startup,90,2025-01-28
652,UX Designer,Hired,"Gilbert, Lin and Garrison",startup,80,2023-07-30
653,Software Engineer,Hired,"Miller, Medina and Lowery",startup,80,2024-09-22
654,UX Designer,Hired,House-Holmes,multinational,80,2024-06-18
655,Network Admin,Hired,Smith Group,multinational,80,2024-01-06
656,Network Admin,Hired,"Hudson, Frazier and Barry",multinational,80,2024-06-19
657,UX Designer,Hired,Hicks-Morton,multinational,70,2023-08-27
658,Data Analyst,Hired,"Rice, Mcdowell and Perkins",multinational,90,2024-02-16
659,UX Designer,Hired,Hamilton Ltd,multinational,90,2024-05-23
660,Software Engineer,Hired,"Henderson, Charles and Lynch",multinational,90,2025-05-12
661,Network Admin,Hired,Roach-Johnson,multinational,80,2024-06-13
662,Data Analyst,Hired,"Turner, Salazar and Jones",multinational,90,2024-07-30
663,Software Engineer,Hired,Watts-Stevenson,national,70,2024-06-08
664,UX Designer,Hired,Gonzalez and Sons,startup,80,2024-08-08
665,Data Analyst,Hired,"Snow, Murphy and Smith",multinational,70,2025-02-17
666,Network Admin,Hired,"Keith, Arroyo and Allen",national,90,2025-01-02
667,Network Admin,Not Hired,No Company,None,80,2023-07-31
668,Software Engineer,Hired,Miller-Chandler,startup,80,2023-07-14
669,Software Engineer,Hired,Mays and Sons,national,80,2024-11-01
670,UX Designer,Hired,Velasquez Group,national,90,2025-06-15
671,Network Admin,Hired,Aguirre PLC,startup,80,2024-06-13
672,Network Admin,Hired,Shannon-Fields,national,80,2024-02-12
673,UX Designer,Not Hired,No Company,None,80,2024-03-29
674,Software Engineer,Hired,Leonard-Hill,multinational,70,2024-08-02
675,Software Engineer,Hired,"Day, Smith and Marshall",multinational,70,2025-02-22
676,Software Engineer,Hired,"Henderson, Garrett and Hurst",startup,90,2023-11-02
677,Data Analyst,Hired,"Burns, Oconnor and Carpenter",startup,80,2024-09-08
678,UX Designer,Hired,Johnson Ltd,national,70,2024-08-23
679,Network Admin,Hired,Mccullough Inc,multinational,80,2024-05-14
680,UX Designer,Hired,"Young, Brown and Brown",multinational,80,2024-04-15
681,Software Engineer,Hired,Brooks-Booth,multinational,80,2024-01-10
682,Network Admin,Hired,Hall-Tucker,startup,80,2024-01-30
683,Software Engineer,Hired,Johnson-Smith,startup,90,2023-12-03
684,Data Analyst,Hired,"Burke, Mitchell and Mills",national,70,2023-07-05
685,Network Admin,Hired,"Jacobson, Daniels and Skinner",multinational,90,2023-09-17
686,UX Designer,Not Hired,No Company,None,70,2025-01-10
687,Software Engineer,Hired,Mack LLC,multinational,90,2025-05-19
688,Data Analyst,Not Hired,No Company,None,90,2023-07-03
689,Data Analyst,Hired,Chan-Fernandez,startup,70,2024-07-03
690,Network Admin,Not Hired,No Company,None,70,2025-02-10
691,UX Designer,Hired,Perry Group,national,90,2023-12-01
692,Network Admin,Hired,Douglas LLC,multinational,80,2023-10-31
693,Software Engineer,Hired,"Myers, Riddle and Barton",national,80,2024-12-01
694,Software Engineer,Hired,Riggs-Sloan,national,80,2025-02-17
695,UX Designer,Hired,Nielsen-Young,startup,90,2024-11-10
696,Software Engineer,Hired,"Allen, Burns and Reyes",startup,70,2024-07-22
